Name,Club,Position,Metric,Value
Alexander Sørloth,Atlético Madrid,ST,Goals,20
Alexander Sørloth,Atlético Madrid,ST,Assists,2
Alexander Sørloth,Atlético Madrid,ST,NPG,19
Alexander Sørloth,Atlético Madrid,ST,XG,16.8
Alexander Sørloth,Atlético Madrid,ST,XA,1.6
Alexander Sørloth,Atlético Madrid,ST,Progressive passes,31
Alexander Sørloth,Atlético Madrid,ST,Progressive carries,32
Alexander Sørloth,Atlético Madrid,ST,Passes completed,229
Alexander Sørloth,Atlético Madrid,ST,Passes attempted,359
Alexander Sørloth,Atlético Madrid,ST,Key passes,13
Alexander Sørloth,Atlético Madrid,ST,Through balls,1
Alexander Sørloth,Atlético Madrid,ST,Switches,0
Alexander Sørloth,Atlético Madrid,ST,Crosses,5
Alexander Sørloth,Atlético Madrid,ST,Corners,0
Alexander Sørloth,Atlético Madrid,ST,Shot creating Actions,30
Alexander Sørloth,Atlético Madrid,ST,SCA Take Ons,4
Alexander Sørloth,Atlético Madrid,ST,GCA Shots,1
Alexander Sørloth,Atlético Madrid,ST,Goal Creating Actions,5
Alexander Sørloth,Atlético Madrid,ST,Tackles,9
Alexander Sørloth,Atlético Madrid,ST,Dribblers tackles,NA
Alexander Sørloth,Atlético Madrid,ST,Shots blocked,1
Alexander Sørloth,Atlético Madrid,ST,Blocks,6
Alexander Sørloth,Atlético Madrid,ST,Interceptions,1
Alexander Sørloth,Atlético Madrid,ST,Passes Recieved,454
Alexander Sørloth,Atlético Madrid,ST,Offsides,8
Alexander Sørloth,Atlético Madrid,ST,Ball recoveries,41
Alexander Sørloth,Atlético Madrid,ST,Errors,0
Alexander Sørloth,Atlético Madrid,ST,Touches,602
Alexander Sørloth,Atlético Madrid,ST,Miscontrols,63
Alexander Sørloth,Atlético Madrid,ST,Dispossessed,32
Alexander Sørloth,Atlético Madrid,ST,Yellow Cards,4
Alexander Sørloth,Atlético Madrid,ST,Red Cards,0
Alexander Sørloth,Atlético Madrid,ST,Fouls committed,26
Alexander Sørloth,Atlético Madrid,ST,Aerials Won,98
Evan Ferguson,Roma,ST,Goals,1
Evan Ferguson,Roma,ST,Assists,0
Evan Ferguson,Roma,ST,NPG,1
Evan Ferguson,Roma,ST,XG,0.5
Evan Ferguson,Roma,ST,XA,0.4
Evan Ferguson,Roma,ST,Progressive passes,1
Evan Ferguson,Roma,ST,Progressive carries,2
Evan Ferguson,Roma,ST,Passes completed,43
Evan Ferguson,Roma,ST,Passes attempted,58
Evan Ferguson,Roma,ST,Key passes,3
Evan Ferguson,Roma,ST,Through balls,0
Evan Ferguson,Roma,ST,Switches,0
Evan Ferguson,Roma,ST,Crosses,0
Evan Ferguson,Roma,ST,Corners,0
Evan Ferguson,Roma,ST,Shot creating Actions,4
Evan Ferguson,Roma,ST,SCA Take Ons,1
